Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
A	137653	2.0	ST	RADIAL SHAFT SEAL A  70,0X 90X10	0.0
A	137663	3.0	ST	RADIAL SHAFT SEAL A  80,0X100X10	1.0
A	137782	2.0	ST	RADIAL SHAFT SEAL A  55,0X 70X 8	0.0
A	139530	1.0	ST	STEAM HOSE 1 1/4"X450 DN32	0.0
A	139531	1.0	ST	STEAM HOSE 3/4" X450	1.0
A	150011	9.0	ST	FLAT PACKING 3/4"/ 27X38X2	16.0
A	150015	8.0	ST	FLAT PACKING 41X55X2	8.0
A	150212	10.0	ST	O-RING 39,20X3,00	0.0
A	178211	1.0	ST	TACHOGENERATOR 60V-1000UPM	0.0
A	178318	3.0	ST	FUSE 35 A	0.0
A	178319	3.0	ST	FUSE 50A/690VAC	0.0
A	178944	3.0	ST	LIMIT SWITCH 1Ö/1S/3A/250VAC	0.0
A	179006	3.0	ST	FUSE 160A	0.0
A	179134	1.0	ST	LIMIT SWITCH 1Ö/1S/3A/250VAC	0.0
A	180280	2.0	ST	CONNECTING WIRE FOR BELT T 1,5 /12 METER	0.0
A	181300	1.0	ST	ROTARY STEAM JOINT R 1 1/4"	1.0
A	181302	4.0	ST	SEALING RING 89,1X59,7X19,5 MM	0.0
A	181817	24.0	ST	PLATE SPRING 40,0X20,4X1,00	0.0
A	185620	3.0	ST	TOOTHED BELT HTD 30X8X640	7.0
A	185951	1.0	ST	TOOTHED BELT HTD 30X 8X1120	0.0
A	199902	2.0	ST	CARBON PAPER 195X20,2-FACH	0.0
A	328100	2.0	ST	SCRAPER 3X80X75X2	0.0
A	508777	3.0	ST	SEALING RING 50X99X2	1.0
A	600287	24.0	ST	WIPER 40X 50X 5	0.0
A	600700	50.0	M	CONVEYOR BELT 80X 3	50.0
A	601135	1.0	ST	GLUE 1PC=1L	0.0
A	601236	4.0	ST	O-RING 6,00X1,50	0.0
A	100441800	522.0	ST	SUPPORTING PLATE S 10X16X1,2	1504.0
A	100686325	1.0	ST	COMPRESSED-AIR MOTOR G1/8 - 10.6NM	1.0
A	100868100	20.0	M	RUBBER PROFILE 18.5X21.5, PACKING UNIT:	0.0
A	100868500	5.0	M	RUBBER PROFILE 26X31, PACKING UNIT: 5M	0.0
A	101641600	2.0	ST	TOOTHED BELT HTD 18X 5X 700	0.0
A	101702202	2.0	ST	SEALING RING 131/111X10	0.0
A	101951401	8.0	ST	RUBBER EDGE 5X75X35	0.0
A	102385500	1.0	ST	ROTARY STEAM JOINT	0.0
A	102955404	10.0	ST	BRUSH 1,0X300X510	13.0
A	103101800	3.0	ST	ELECTRONIC COMPONENT I10-53 Q4,5-48 VDC	0.0
A	103373903	33.0	M	FOIL 70 BR. 0,25 ST	0.0
A	103379420	1.0	ST	PROXIMITY SWITCH 10-30V,DC200MA	2.0
A	103423902	2.0	ST	RUBBER PLATE 160X3X2600	0.0
A	103560703	5.0	ST	BELT 80X2450X3	10.0
A	103560705	6.0	ST	BELT 80X1720X 3	13.0
A	103560708	6.0	ST	BELT 80X3X1330	2.0
A	103560720	8.0	ST	BELT 80X3X300	1.0
