Order_Form_ID	Customer_Name	Article_Number	Article_Name	Invoice_Date	PickAndPay	Revenue	Calendar_week	Amount
f8ae58b8e132fbce528e4c11c9569403	B	126292402	BRUSH ROLL SEGMENT 300X203X216MM	2016-01-29	0	63752.72	4	12.0
f8ae58b8e132fbce528e4c11c9569403	B	110680400	PACKING CHARGES (PAL-BOX I) 830X580X680	2016-01-29	0	1099.23	4	1.0
69a6e69fe82901f1e0a913960e681173	B	104581513	O-RING 10X2	2016-03-14	0	564.73	11	4.0
69a6e69fe82901f1e0a913960e681173	B	104581595	BRAKE LINING CORRUDUR® 64X5X10	2016-03-14	0	82115.12	11	168.0
69a6e69fe82901f1e0a913960e681173	B	101951401	RUBBER EDGE 5X75X35	2016-03-14	0	251.17	11	4.0
69a6e69fe82901f1e0a913960e681173	B	102590601	SERVICE-SET G1/4 - 63X20	2016-03-14	0	586.44	11	1.0
69a6e69fe82901f1e0a913960e681173	B	103373903	FOIL 70 BR. 0,25 ST	2016-03-14	0	4373.02	11	33.0
69a6e69fe82901f1e0a913960e681173	B	103423950	RUBBER PLATE 200X3X2900	2016-03-14	0	1542.5	11	1.0
69a6e69fe82901f1e0a913960e681173	B	104230503	FOAM RUBBER 60X40X12	2016-03-14	0	530.1	11	4.0
69a6e69fe82901f1e0a913960e681173	B	104230550	FOAM RUBBER 60X12X2850	2016-03-14	0	625.46	11	2.0
69a6e69fe82901f1e0a913960e681173	B	118550500	O-RING 90,00X2,00	2016-03-14	0	376.76	11	6.0
69a6e69fe82901f1e0a913960e681173	B	601135	GLUE 1PC=1L	2016-03-14	0	955.78	11	1.0
69a6e69fe82901f1e0a913960e681173	B	100868100	RUBBER PROFILE 18.5X21.5, PACKING UNIT:	2016-03-14	0	1564.21	11	20.0
69a6e69fe82901f1e0a913960e681173	B	100868500	RUBBER PROFILE 26X31, PACKING UNIT: 5M	2016-03-14	0	1108.03	11	5.0
69a6e69fe82901f1e0a913960e681173	B	101702202	SEALING RING 131/111X10	2016-03-14	0	1020.91	11	1.0
69a6e69fe82901f1e0a913960e681173	B	102331301	2/2 WAY SOLENOID VALVE G1/2 - NW12	2016-03-14	0	2606.83	11	1.0
69a6e69fe82901f1e0a913960e681173	B	102385500	ROTARY STEAM JOINT	2016-03-14	0	27110.91	11	1.0
