Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
B	178211	1.0	ST	TACHOGENERATOR 60V-1000UPM	0.0
B	178944	1.0	ST	LIMIT SWITCH 1Ö/1S/3A/250VAC	0.0
B	179134	1.0	ST	LIMIT SWITCH 1Ö/1S/3A/250VAC	0.0
B	100441800	96.0	ST	SUPPORTING PLATE S 10X16X1,2	192.0
B	100686325	1.0	ST	COMPRESSED-AIR MOTOR G1/8 - 10.6NM	0.0
B	101706200	2.0	ST	GAS PRESSURE SPRING D10/H200/F 800N	0.0
B	103101800	1.0	ST	ELECTRONIC COMPONENT I10-53 Q4,5-48 VDC	0.0
B	103373903	33.0	M	FOIL 70 BR. 0,25 ST	0.0
B	103379420	1.0	ST	PROXIMITY SWITCH 10-30V,DC200MA	0.0
B	104462901	1.0	ST	EMERGENCY STOP MODULE 24VAC/DC	0.0
B	104581595	32.0	ST	BRAKE LINING CORRUDUR® 64X5X10	0.0
B	105303965	4.0	ST	DISC CUT KNIFE 240X1,2/0,35MM,20°	8.0
B	105406991	20.0	ST	GRINDING WHEEL 50X11X19MM	18.0
B	106363800	1.0	ST	LIGHT BARRIER 10-30 VDC	0.0
B	106363900	1.0	ST	LIGHT BARRIER SENDER	0.0
B	106606921	180.0	ST	CLEAN-OUT FINGER BL1.0X98X90LG	0.0
B	107254210	250.0	ST	FELT 46X35X10MM	400.0
B	107969300	1.0	ST	EMERGENCY STOP MODULE 24VDC/220VAC	0.0
B	108057014	0.0	ST	SCRAPER LEDGE 2942LG	0.0
B	109411002	1.0	ST	PULSE DISTRIBUTOR IV30	0.0
B	109888054	2.0	ST	KNIFE 2840X30X8 AB2800	4.0
B	110463301	1.0	ST	PROXIMITY SWITCH M18 5MM 10-65VDC 200MA	1.0
B	111125198	2.0	ST	GLUE DAM JOINT 3X128X197	0.0
B	111125199	2.0	ST	GLUE DAM JOINT 3X128X197	0.0
B	111125303	4.0	ST	GLUE DAM JOINT 3X260X220	0.0
B	111537801	1.0	ST	RELAY 24VDC 10A 3CO	0.0
B	111537822	1.0	ST	RELAY 2WE/24VDC/8A	0.0
B	111537832	1.0	ST	RELAY 4WE/24VDC/5A/GK	0.0
