Order_Form_ID	Customer_Name	Article_Number	Article_Name	Invoice_Date	PickAndPay	Revenue	Calendar_week	Amount
21b32479462e60b9b6e8207dd378ceaa	C	119761650	BEARINGS AND ACCESSORIES	2016-01-05	0	13851.7	1	1.0
21b32479462e60b9b6e8207dd378ceaa	C	115975800	BEARINGS AND ACCESSORIES	2016-01-05	0	13851.7	1	1.0
21b32479462e60b9b6e8207dd378ceaa	C	101684300	BALL SCREW KGT-S-3240X2727	2016-01-05	0	38471.75	1	1.0
21b32479462e60b9b6e8207dd378ceaa	C	P030FR001	FREIGHT CHARGES	2016-01-05	0	5661.05	1	1.0
21b32479462e60b9b6e8207dd378ceaa	C	P030PA001	PACKING	2016-01-05	0	2308.39	1	1.0
5a24c78b5ccfb5575a6bb1a733e2d086	C	107440100	NAP FOIL 120 MM BR/25 M	2016-01-05	1	9320.12	1	25.0
5a24c78b5ccfb5575a6bb1a733e2d086	C	101517100	TOOTHED BELT HTD 15X 8X1600	2016-01-05	1	289.65	1	1.0
d0eef720c6f836104f83e2fb8dd198aa	C	104230500	FOAM RUBBER 60X12X2600	2016-01-25	0	3764.6	4	4.0
d0eef720c6f836104f83e2fb8dd198aa	C	110991002	PACKING CHARGES (CARTON) 300X300X200	2016-01-25	0	192.37	4	1.0
40143fa0cc3fa71f5968b0217f258457	C	105406902	GRINDING WHEEL 50X10X16	2016-02-10	1	9156.6	6	8.0
40143fa0cc3fa71f5968b0217f258457	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2016-02-10	1	37187.03	6	8.0
40143fa0cc3fa71f5968b0217f258457	C	107254200	FELT 60X45MMX10	2016-02-10	1	1216.58	6	56.0
f43b80d74f8642e3c66cabba4467dd15	C	105553900	DISPLAY 24VDC DIGEM	2016-03-10	0	18715.25	10	2.0
f43b80d74f8642e3c66cabba4467dd15	C	105114700	PROXIMITY SWITCH 10-30VDC/PNP/M8/1,5MM	2016-03-10	0	6371.15	10	2.0
f43b80d74f8642e3c66cabba4467dd15	C	110991002	PACKING CHARGES (CARTON) 300X300X200	2016-03-10	0	192.37	10	1.0
5fbccb8c89623fb021cfebbef681a779	C	105406902	GRINDING WHEEL 50X10X16	2016-04-07	1	-9156.6	14	-8.0
5fbccb8c89623fb021cfebbef681a779	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2016-04-07	1	-37187.03	14	-8.0
5fbccb8c89623fb021cfebbef681a779	C	107254200	FELT 60X45MMX10	2016-04-07	1	-1216.58	14	-56.0
5fbccb8c89623fb021cfebbef681a779	C	105406902	GRINDING WHEEL 50X10X16	2016-04-07	1	-2289.15	14	-2.0
5fbccb8c89623fb021cfebbef681a779	C	105406902	GRINDING WHEEL 50X10X16	2016-04-07	1	-9156.6	14	-8.0
5fbccb8c89623fb021cfebbef681a779	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2016-04-07	1	-4648.38	14	-1.0
cb35d32907901a9de3359f9822304568	C	109152510	SERVO CONTROLLER BUM 616-12/18	2016-04-14	0	49402.79	15	1.0
cb35d32907901a9de3359f9822304568	C	V00000025	PACKING CHARGES (CARTON)	2016-04-14	0	192.37	15	1.0
60de118a6c69c50847b8567f91124037	C	101684300	BALL SCREW KGT-S-3240X2727	2016-04-16	0	-38471.75	15	-1.0
563feaf2b6edaf40c9a69c73c34a5c5a	C	108079901	CLAMPING ELEMENT	2016-05-25	0	8293.98	21	4.0
563feaf2b6edaf40c9a69c73c34a5c5a	C	110991000	PACKING CHARGES (CARTON) 200X200X80	2016-05-25	0	192.37	21	1.0
2d17fbc9e715f31897afac7759a4cada	C	118027801	PRESSURE BELT I-QUALITY 2540X 2800	2016-06-17	1	160030.35	24	1.0
afc6c5390eb4fc187f93ba66809301fe	C	109152510	SERVO CONTROLLER BUM 616-12/18	2016-06-18	0	281285.28	24	6.0
afc6c5390eb4fc187f93ba66809301fe	C	110680400	PACKING CHARGES (PAL-BOX I) 830X580X680	2016-06-18	0	1099.23	24	1.0
afc6c5390eb4fc187f93ba66809301fe	C	P030FR001	FREIGHT CHARGES	2016-06-18	0	7612.18	24	1.0
4abfe21f0e7d7a2f55ad1a551fbf626a	C	208780611	KNIFE SET 2500MM	2016-06-21	0	94364.69	25	1.0
4abfe21f0e7d7a2f55ad1a551fbf626a	C	V00000007	PACKING CHARGES (BOX) 2670X100X110MM	2016-06-21	0	1374.04	25	1.0
37bbb2d7343d63a171876a1c78a453e0	C	105303998	DISC CUT KNIFE 240X1,2MM,28°	2016-06-25	1	51132.16	25	11.0
37bbb2d7343d63a171876a1c78a453e0	C	105406902	GRINDING WHEEL 50X10X16	2016-06-25	1	32048.12	25	28.0
37bbb2d7343d63a171876a1c78a453e0	C	106606930	CLEAN-OUT FINGER 1,0X98X81.5	2016-06-25	1	10745.0	25	50.0
37bbb2d7343d63a171876a1c78a453e0	C	107254200	FELT 60X45MMX10	2016-06-25	1	3714.86	25	171.0
37bbb2d7343d63a171876a1c78a453e0	C	163270925	SCRAPER BLADE CORRUDUR® 2550X50X1,5	2016-06-25	1	1284.73	25	1.0
37bbb2d7343d63a171876a1c78a453e0	C	105337510	PROFILED JOINT 20X25X637	2016-06-25	1	4662.39	25	4.0
37bbb2d7343d63a171876a1c78a453e0	C	107988610	TOOTHED BELT HTD 50X8MX2000 CXP	2016-06-25	1	3830.82	25	1.0
37bbb2d7343d63a171876a1c78a453e0	C	111125198	GLUE DAM JOINT 3X128X197	2016-06-25	1	2756.32	25	2.0
37bbb2d7343d63a171876a1c78a453e0	C	111125199	GLUE DAM JOINT 3X128X197	2016-06-25	1	2756.32	25	2.0
37bbb2d7343d63a171876a1c78a453e0	C	111125301	GLUE DAM JOINT 3X260X220	2016-06-25	1	3036.63	25	2.0
37bbb2d7343d63a171876a1c78a453e0	C	148143400	HOOK BELT FASTENER G006-SS-600W	2016-06-25	1	5606.08	25	4.8
d81842b4f73eaaaa63b864cdcb4987fd	C	P030PA001	PACKING	2016-06-25	1	384.73	25	1.0
d81842b4f73eaaaa63b864cdcb4987fd	C	P030FR001	FREIGHT CHARGES	2016-06-25	1	4121.02	25	1.0
e74613ece27997a5f94d95982abb68a4	C	P030PA001	PACKING	2016-06-25	1	-384.73	25	-1.0
