Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
C	137782	1.0	ST	RADIAL SHAFT SEAL A  55,0X 70X 8	0.0
C	139530	1.0	ST	STEAM HOSE 1 1/4"X450 DN32	0.0
C	139531	1.0	ST	STEAM HOSE 3/4" X450	0.0
C	150011	4.0	ST	FLAT PACKING 3/4"/ 27X38X2	0.0
C	150015	4.0	ST	FLAT PACKING 41X55X2	0.0
C	150212	4.0	ST	O-RING 39,20X3,00	0.0
C	150276	2.0	ST	SEALING RING 27,0X32,0X1,8	0.0
C	150343	2.0	ST	SEALING RING 38,0X46,0X2,0	0.0
C	181302	2.0	ST	SEALING RING 89,1X59,7X19,5 MM	2.0
C	181817	20.0	ST	PLATE SPRING 40,0X20,4X1,00	0.0
C	185951	2.0	ST	TOOTHED BELT HTD 30X 8X1120	2.0
C	363694	4.0	ST	SEALING RING 142+0,5/101X2	0.0
C	364361	1.0	ST	SCRAPER BLADE 2550X50X0.8	0.0
C	508777	2.0	ST	SEALING RING 50X99X2	0.0
C	600818	1.0	ST	TOOTHED BELT T 12X 5X1215	0.0
C	601135	1.0	ST	GLUE 1PC=1L	1.0
C	601236	4.0	ST	O-RING 6,00X1,50	0.0
C	100441800	86.0	ST	SUPPORTING PLATE S 10X16X1,2	430.0
C	101284300	2.0	ST	TOOTHED BELT HTD 20X 8X1600	2.0
C	101517000	2.0	ST	TOOTHED BELT HTD 15X 8X2080	0.0
C	101517100	2.0	ST	TOOTHED BELT HTD 15X 8X1600	2.0
C	101517200	2.0	ST	TOOTHED BELT HTD 15X 8X1120	0.0
C	101641600	1.0	ST	TOOTHED BELT HTD 18X 5X 700	1.0
C	101951401	4.0	ST	RUBBER EDGE 5X75X35	0.0
C	102184500	5.0	ST	SEALING RING 90,6X100X7,1	0.0
C	102675800	1.0	ST	COUPLING 8/10MM	0.0
C	103091402	0.0	ST	PROXIMITY TRANSDUCER	1.0
C	103091403	0.0	ST	CONVERTER	1.0
C	103101000	24.0	ST	PLASTIC PLATE 60X6X180	72.0
C	103369200	1.0	M	JOINT RUBBER	0.0
C	103373900	33.0	M	FOIL 40 BR. 0,25 ST	0.0
C	103423900	1.0	ST	RUBBER PLATE 200X3X2600	0.0
C	104170200	2.0	ST	TOOTHED BELT HTD 50X 8X1440	0.0
C	104212300	6.0	ST	O-RING 240,00X5,00	1.0
C	104764500	1.0	ST	COUPLING 10X 20X 37X 30	0.0
C	105073800	1.0	ST	KNIFE 2540X30X8 AB2500	5.0
C	105303998	0.0	ST	DISC CUT KNIFE 240X1,2MM,28°	95.0
C	105337510	10.0	ST	PROFILED JOINT 20X25X637	12.0
C	105406902	0.0	ST	GRINDING WHEEL 50X10X16	178.0
C	105450500	2.0	ST	TOOTHED BELT HTD 30X8MX1440	1.0
C	105535500	2.0	ST	TOOTHED BELT 18X 5X 615	0.0
C	105535600	2.0	ST	TOOTHED BELT 18X 5X 560	2.0
C	105899900	1.0	ST	TOOTHED BELT HTD 9X 5X 980	0.0
C	106250400	6.0	M	PROFILE FOR METAL CLAMPING 1-3 MM	0.0
C	106606921	81.0	ST	CLEAN-OUT FINGER BL1.0X98X90LG	288.0
C	106606930	150.0	ST	CLEAN-OUT FINGER 1,0X98X81.5	578.0
C	106885100	2.0	ST	RADIAL SHAFT SEAL 188X225X15	1.0
C	107254200	0.0	ST	FELT 60X45MMX10	960.0
C	107440100	25.0	M	NAP FOIL 120 MM BR/25 M	175.0
C	107806800	2.0	ST	O-RING 170,00X3,00	0.0
C	107938800	1.0	ST	TACHOGENERATOR 60V-1000UPM	0.0
C	107988610	1.0	ST	TOOTHED BELT HTD 50X8MX2000 CXP	2.0
C	108214400	1.0	ST	V-BELT, CORDED L=3493	0.0
C	110658000	2.0	ST	TOOTHED BELT 15X 5X 500	2.0
C	111125198	4.0	ST	GLUE DAM JOINT 3X128X197	11.0
C	111125199	4.0	ST	GLUE DAM JOINT 3X128X197	10.0
C	111125301	4.0	ST	GLUE DAM JOINT 3X260X220	15.0
C	111152200	1.0	ST	STEAM HOSE 1/2"X450  DN12	0.0
C	113115001	1.0	ST	UPPER KNIFE L=2540 AB=2500	5.0
C	114779700	4.0	ST	V-RING 90  X 9,0	0.0
C	118027801	1.0	ST	PRESSURE BELT I-QUALITY 2540X 2800	6.0
C	119683300	2.0	ST	RADIAL SHAFT SEAL AS 90,0X110X 8	0.0
C	123052320	60.0	ST	NO-CRUSH-ROLLER 165X65X50	220.0
C	148143400	0.0	M	HOOK BELT FASTENER G006-SS-600W	4.8
C	163270925	3.0	ST	SCRAPER BLADE CORRUDUR® 2550X50X1,5	6.0
C	173687700	1.0	ST	TORX SOCKET GR.TX40 1/2-ZOLL	5.0
C	177592300	86.0	ST	PLATE SPRING 8,4X15X2	430.0
C	177671310	2.0	ST	ADHESIVE LABEL	10.0
C	191757200	8.0	ST	LENS HEAD SCREW M8X16	40.0
C	191757201	86.0	ST	LENS HEAD SCREW M8X25	430.0
C	204231200	2.0	ST	KNIFE 1300X50X1.5	0.0
C	295324020	2.0	ST	CONVERTER 1XELEKTRONIK 2XSENSOR	0.0
C	181300.02	2.0	ST	SEAL D116X99X2	0.0
