Order_Form_ID	Customer_Name	Article_Number	Article_Name	Invoice_Date	PickAndPay	Revenue	Calendar_week	Amount
d75f1ac60d384da834bde7ca5d9be678	D	101284800	LIFTING SPINDLE GEAR TR 30X3X75	2016-09-21	0	30116.22	38	1.0
d75f1ac60d384da834bde7ca5d9be678	D	101284700	LIFTING SPINDLE GEAR TR 30X3X75	2016-09-21	0	30115.94	38	1.0
d75f1ac60d384da834bde7ca5d9be678	D	119740200	PRESSURE NUT 50/20X125	2016-09-21	0	11184.14	38	2.0
d75f1ac60d384da834bde7ca5d9be678	D	126215	KEY A 14X 9X 20	2016-09-21	0	74.47	38	2.0
d75f1ac60d384da834bde7ca5d9be678	D	104216000	WIPER 20X 30X 7	2016-09-21	0	477.62	38	2.0
d75f1ac60d384da834bde7ca5d9be678	D	110991002	PACKING CHARGES (CARTON) 300X300X200	2016-09-21	0	192.37	38	1.0
737b082c1be0b8cf3d141f53a33f42ad	D	107440100	NAP FOIL 120 MM BR/25 M	2016-09-23	0	21725.5	38	50.0
737b082c1be0b8cf3d141f53a33f42ad	D	110991003	PACKING CHARGES (CARTON) 360X360X250	2016-09-23	0	192.37	38	1.0
82026b41ec6d0726814652f4bebced02	D	121010611	PLATE	2016-09-27	0	14229.56	39	1.0
82026b41ec6d0726814652f4bebced02	D	121010610	SEALING RING K=1 1/2"	2016-09-27	0	15846.81	39	2.0
82026b41ec6d0726814652f4bebced02	D	121010616	SEALING RING	2016-09-27	0	20766.7	39	4.0
82026b41ec6d0726814652f4bebced02	D	131672120	O-RING 50,17X5,33	2016-09-27	0	3741.24	39	4.0
82026b41ec6d0726814652f4bebced02	D	121010617	SEAL	2016-09-27	0	17765.79	39	4.0
82026b41ec6d0726814652f4bebced02	D	121010618	SEAL ID=102 DICKE=2	2016-09-27	0	2359.78	39	4.0
82026b41ec6d0726814652f4bebced02	D	121010619	SEAL	2016-09-27	0	32664.24	39	4.0
82026b41ec6d0726814652f4bebced02	D	118308700	PACKING CHARGES (CARTON) 330X163X172 MM	2016-09-27	0	192.37	39	1.0
6ec1eecb2f9ced551b6152563cdd7945	D	109572801	GROUT 25KG-SACK	2016-10-11	0	13015.73	41	3.0
6ec1eecb2f9ced551b6152563cdd7945	D	110680400	PACKING CHARGES (PAL-BOX I) 830X580X680	2016-10-11	0	1099.23	41	1.0
8089009c95516df5108b9ef22c69cc6f	D	121067160	STEAM HOSE 3/4"X930MM	2016-10-12	0	10821.67	41	2.0
8089009c95516df5108b9ef22c69cc6f	D	110991007	PACKING CHARGES (CARTON) 1100X200X200	2016-10-12	0	192.37	41	1.0
ba89526650ba3534d0754311a481d029	D	118027801	PRESSURE BELT I-QUALITY 2540X 2800	2016-10-27	1	160030.35	43	1.0
ba89526650ba3534d0754311a481d029	D	100335700	BACOMIN V42-50 UNIVERSAL 500ML/BACOMIN V	2016-10-27	1	2500.75	43	1.0
ba89526650ba3534d0754311a481d029	D	107254210	FELT 46X35X10MM	2016-10-27	1	32.7	43	2.0
e8d0b7889a50ec628fabdbf87ec5116e	D	P030PA001	PACKING	2016-10-28	1	192.37	43	1.0
e8d0b7889a50ec628fabdbf87ec5116e	D	P030PA001	PACKING	2016-10-28	1	2473.27	43	1.0
e8d0b7889a50ec628fabdbf87ec5116e	D	P030FR001	FREIGHT CHARGES	2016-10-28	1	1786.25	43	1.0
521488db38e1b91fb894fa6ab61cda8c	D	P030PA001	PACKING	2016-10-28	1	-192.37	43	-1.0
521488db38e1b91fb894fa6ab61cda8c	D	P030PA001	PACKING	2016-10-28	1	-2473.27	43	-1.0
521488db38e1b91fb894fa6ab61cda8c	D	P030FR001	FREIGHT CHARGES	2016-10-28	1	-1786.25	43	-1.0
a3c17bb6cccdb9b195e9972ffa1f7063	D	P030PA001	PACKING	2016-11-03	1	192.37	44	1.0
a3c17bb6cccdb9b195e9972ffa1f7063	D	P030PA001	PACKING	2016-11-03	1	2473.27	44	1.0
a3c17bb6cccdb9b195e9972ffa1f7063	D	P030FR001	FREIGHT CHARGES	2016-11-03	1	1786.25	44	1.0
c1faa0963cb4ec944e9c2636aa2834ca	D	P030PA001	PACKING	2016-11-03	1	-192.37	44	-1.0
c1faa0963cb4ec944e9c2636aa2834ca	D	P030PA001	PACKING	2016-11-03	1	-2473.27	44	-1.0
c1faa0963cb4ec944e9c2636aa2834ca	D	P030FR001	FREIGHT CHARGES	2016-11-03	1	-1786.25	44	-1.0
606ed5dd50f4b3c3f2a8801f437463b7	D	P030PA001	PACKING	2016-11-09	1	192.37	45	1.0
606ed5dd50f4b3c3f2a8801f437463b7	D	P030PA001	PACKING	2016-11-09	1	2473.27	45	1.0
606ed5dd50f4b3c3f2a8801f437463b7	D	P030FR001	FREIGHT CHARGES	2016-11-09	1	1786.25	45	1.0
14333b2652f972d12bdf27192a4264ca	D	124309599	FILTER ELEMENT NG100	2016-11-11	0	13008.86	45	3.0
14333b2652f972d12bdf27192a4264ca	D	110027299	FILTER ELEMENT L=97MM, D=45MM	2016-11-11	0	7534.69	45	3.0
14333b2652f972d12bdf27192a4264ca	D	118308700	PACKING CHARGES (CARTON) 330X163X172 MM	2016-11-11	0	192.37	45	1.0
404901476ac504c96cd199e9542ce996	D	109894000	DRIVE MODULE 20A/3PH/540V	2016-12-09	0	53584.82	49	1.0
404901476ac504c96cd199e9542ce996	D	127985900	CONTROLLER MODULE 24V	2016-12-09	0	42956.62	49	1.0
404901476ac504c96cd199e9542ce996	D	P030FR001	FREIGHT CHARGES	2016-12-09	0	19458.33	49	1.0
a956c61c413d9a2a4bc6775888e3a8a2	D	155448002	BHS-ACTIVE DECALCER 2,5L	2016-12-13	0	46436.24	50	32.0
a956c61c413d9a2a4bc6775888e3a8a2	D	110991003	PACKING CHARGES (CARTON) 360X360X250	2016-12-13	0	961.83	50	5.0
a956c61c413d9a2a4bc6775888e3a8a2	D	110991002	PACKING CHARGES (CARTON) 300X300X200	2016-12-13	0	192.37	50	1.0
bf543e7d1102077e4f3a813ef5015916	D	104944921	SLIDING POTENTIOMETER 5 K.OHM	2016-12-23	0	19247.56	51	1.0
bf543e7d1102077e4f3a813ef5015916	D	110991000	PACKING CHARGES (CARTON) 200X200X80	2016-12-23	0	192.37	51	1.0
ad904203a22779d6cbb56e84c2e8eb57	D	P030LF001	LENDING FEE	2016-12-28	0	93434.74	52	1.0
ad904203a22779d6cbb56e84c2e8eb57	D	P030FR001	FREIGHT CHARGES	2016-12-28	0	30855.17	52	1.0
bf81794ca5b4ab4e9b1d3b82774f18a7	D	P030LF001	LENDING FEE	2016-12-28	0	-93434.74	52	-1.0
bf81794ca5b4ab4e9b1d3b82774f18a7	D	P030FR001	FREIGHT CHARGES	2016-12-28	0	-30855.17	52	-1.0
d10a3e0888c57c55c83584cdd3d4c830	D	P030LF001	LENDING FEE	2016-12-28	0	93434.74	52	1.0
d10a3e0888c57c55c83584cdd3d4c830	D	P030FR001	FREIGHT CHARGES	2016-12-28	0	30855.17	52	1.0
ca336d5c34e26288cdddd99830744f51	D	BSP3000012	Spare Part Repair	2016-12-31	0	5839.67	52	1.0
ca336d5c34e26288cdddd99830744f51	D	BSP3000012	Spare Part Repair	2016-12-31	0	5839.67	52	1.0
ca336d5c34e26288cdddd99830744f51	D	P030PA001	PACKING	2016-12-31	0	192.37	52	1.0
ca336d5c34e26288cdddd99830744f51	D	P030FR001	FREIGHT CHARGES	2016-12-31	0	4273.27	52	1.0
ff22d09931eab889d917892621b83433	D	107440100	NAP FOIL 120 MM BR/25 M	2017-01-11	0	41282.22	2	100.0
ff22d09931eab889d917892621b83433	D	110991003	PACKING CHARGES (CARTON) 360X360X250	2017-01-11	0	192.37	2	1.0
73915407926bb57d5cf59cea1a595dc6	D	109894003	CONTROLLER MODULE	2017-01-13	0	22914.87	2	1.0
73915407926bb57d5cf59cea1a595dc6	D	109893900	BASE UNIT 380-460V, 28 A, 18 KW	2017-01-13	0	26769.05	2	1.0
73915407926bb57d5cf59cea1a595dc6	D	P030FR001	FREIGHT CHARGES	2017-01-13	0	26116.93	2	1.0
e5dcd014f8a20db13d6dc1f4402b05c1	D	115977200	CABLE GUIDING SYSTEM L=1410 MM	2017-01-13	0	2382.59	2	1.0
edff851ab80b984b4bdcfaa8c04ce7db	D	102429200	SEALING ELEMENT 25X15X638	2017-01-13	0	5606.08	2	4.0
edff851ab80b984b4bdcfaa8c04ce7db	D	102429400	SEAL 4X360X205	2017-01-13	0	7101.04	2	2.0
edff851ab80b984b4bdcfaa8c04ce7db	D	P030FR001	FREIGHT CHARGES	2017-01-13	0	26116.93	2	1.0
73a4fdec6e0e4f7835e86d3beb0e7a00	D	109894000	DRIVE MODULE 20A/3PH/540V	2017-01-13	0	53584.82	2	1.0
73a4fdec6e0e4f7835e86d3beb0e7a00	D	P030FR001	FREIGHT CHARGES	2017-01-13	0	26116.93	2	1.0
028cdf237fee9679c8bf0864ed006030	D	103373900	FOIL 40 BR. 0,25 ST	2017-01-13	0	3895.4	2	33.0
028cdf237fee9679c8bf0864ed006030	D	110991000	PACKING CHARGES (CARTON) 200X200X80	2017-01-13	0	192.37	2	1.0
f91b08d98f814b0b5f7b146206e6552b	D	102429200	SEALING ELEMENT 25X15X638	2017-01-13	0	-5606.08	2	-4.0
f91b08d98f814b0b5f7b146206e6552b	D	102429400	SEAL 4X360X205	2017-01-13	0	-7101.04	2	-2.0
f91b08d98f814b0b5f7b146206e6552b	D	P030FR001	FREIGHT CHARGES	2017-01-13	0	-26116.93	2	-1.0
1f1d15b6d37dcfcb58462e31e80f6c8c	D	102429200	SEALING ELEMENT 25X15X638	2017-01-17	0	5606.08	3	4.0
1f1d15b6d37dcfcb58462e31e80f6c8c	D	102429400	SEAL 4X360X205	2017-01-17	0	7101.04	3	2.0
1f1d15b6d37dcfcb58462e31e80f6c8c	D	P030FR001	FREIGHT CHARGES	2017-01-17	0	26116.93	3	1.0
f07e6181653352dc8f1a03b4477ed938	D	109894000	DRIVE MODULE 20A/3PH/540V	2017-01-23	0	57787.19	4	1.0
f07e6181653352dc8f1a03b4477ed938	D	127985900	CONTROLLER MODULE 24V	2017-01-23	0	43856.07	4	1.0
f07e6181653352dc8f1a03b4477ed938	D	V00000025	PACKING CHARGES (CARTON)	2017-01-23	0	192.37	4	1.0
f07e6181653352dc8f1a03b4477ed938	D	110991002	PACKING CHARGES (CARTON) 300X300X200	2017-01-23	0	192.37	4	1.0
e9a4b147f9ada8094cae2b3c8168d0b9	D	102429200	SEALING ELEMENT 25X15X638	2017-02-08	1	2803.04	6	2.0
b8ff55ccdb5b245c0a5b633c512d965a	D	101608501	CARDAN SHAFT LZ=915;V=225	2017-02-15	0	149470.85	7	1.0
