Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
D	123943	20.0	ST	COUNTER SUNK HEAD GROOVED PIN 3X8	0.0
D	328100	2.0	ST	SCRAPER 3X80X75X2	0.0
D	346511	2.0	ST	SCRAPER 3X50X30X1	0.0
D	364361	3.0	ST	SCRAPER BLADE 2550X50X0.8	4.0
D	553374	2.0	ST	SEALING ELEMENT RAD.288.5X260	0.0
D	553632	2.0	ST	SEALING ELEMENT 5X80X40X2	0.0
D	600287	14.0	ST	WIPER 40X 50X 5	0.0
D	601135	1.0	ST	GLUE 1PC=1L	2.0
D	100335700	2.0	ST	BACOMIN V42-50 UNIVERSAL 500ML/BACOMIN V	3.0
D	100441800	172.0	ST	SUPPORTING PLATE S 10X16X1,2	344.0
D	100868500	20.0	M	RUBBER PROFILE 26X31, PACKING UNIT: 5M	20.0
D	101519000	1.0	ST	CARDAN SHAFT S= 270 X= 40	0.0
D	101702202	2.0	ST	SEALING RING 131/111X10	0.0
D	102331301	3.0	ST	2/2 WAY SOLENOID VALVE G1/2 - NW12	0.0
D	102429200	4.0	ST	SEALING ELEMENT 25X15X638	2.0
D	102429610	1.0	ST	SEAL D360X36X81X170	0.0
D	102429611	1.0	ST	SEAL D360X32X81X170	0.0
D	102429810	1.0	ST	SEALING ELEMENT D490X38X110X210	0.0
D	102429811	1.0	ST	SEALING ELEMENT D490X32X110X210	0.0
D	103101000	10.0	ST	PLASTIC PLATE 60X6X180	10.0
D	103373900	33.0	M	FOIL 40 BR. 0,25 ST	0.0
D	103423900	2.0	ST	RUBBER PLATE 200X3X2600	0.0
D	104055300	2.0	ST	SHOCK ABSORBER HUB 10MM	0.0
D	104230500	2.0	ST	FOAM RUBBER 60X12X2600	0.0
D	104581595	32.0	ST	BRAKE LINING CORRUDUR® 64X5X10	24.0
D	105073700	2.0	ST	KNIFE 2540X30X8 AB2500	4.0
D	105073800	2.0	ST	KNIFE 2540X30X8 AB2500	4.0
D	105337510	2.0	ST	PROFILED JOINT 20X25X637	0.0
D	105406911	6.0	ST	GRINDING WHEEL 50X10X16	0.0
D	105407210	3.0	ST	TOOTHED BELT 29,5X 8X 640	2.0
D	106606921	40.0	ST	CLEAN-OUT FINGER BL1.0X98X90LG	0.0
D	107254210	114.0	ST	FELT 46X35X10MM	153.0
D	107440100	25.0	M	NAP FOIL 120 MM BR/25 M	0.0
D	109612501	4.0	ST	SEALING LEDGE 5,5X65X2600	2.0
D	111125198	2.0	ST	GLUE DAM JOINT 3X128X197	3.0
D	111125199	2.0	ST	GLUE DAM JOINT 3X128X197	3.0
D	111125301	4.0	ST	GLUE DAM JOINT 3X260X220	6.0
D	111226800	10.0	ST	COUPLING M10	0.0
D	111436100	20.0	ST	ROUND HEAD GROOVED PIN 3X8	0.0
D	118027801	2.0	ST	PRESSURE BELT I-QUALITY 2540X 2800	9.0
D	123052310	25.0	ST	NO-CRUSH-ROLLER 165X65X50	43.0
D	144296502	4.0	ST	HT 250 CHAIN SPRAY H1 400ML	0.0
D	155448002	5.0	ST	BHS-ACTIVE DECALCER 2,5L	0.0
D	173687700	1.0	ST	TORX SOCKET GR.TX40 1/2-ZOLL	3.0
D	177592300	172.0	ST	PLATE SPRING 8,4X15X2	344.0
D	177671310	2.0	ST	ADHESIVE LABEL	6.0
D	191757200	16.0	ST	LENS HEAD SCREW M8X16	32.0
D	191757201	172.0	ST	LENS HEAD SCREW M8X25	344.0
D	199825800	0.0	ST	PERFLU V250 HIGH TEMP 800G 400ML	2.0
D	199825802	2.0	ST	PERFLU H1 HIGH TEMP 0,8KG	0.0
D	204231200	6.0	ST	KNIFE 1300X50X1.5	0.0
D	184288.01	2.0	ST	SCRAPER BLADE 2565X50X1,2	0.0
D	363667.04	1.0	ST	SCRAPER BLADE 50X1,2X2540	0.0
