Order_Form_ID	Customer_Name	Article_Number	Article_Name	Invoice_Date	PickAndPay	Revenue	Calendar_week	Amount
ca5862ac925e28d351ade42a6157f149	E	108030999	BOLT 16X25/M8	2016-01-13	0	7232.67	2	6.0
ca5862ac925e28d351ade42a6157f149	E	111125702	SPACER 40/17X2	2016-01-13	0	579.02	2	6.0
ca5862ac925e28d351ade42a6157f149	E	106566766	LOCKING PLATE FUER D=16	2016-01-13	0	1063.23	2	12.0
ca5862ac925e28d351ade42a6157f149	E	110991000	PACKING CHARGES (CARTON) 200X200X80	2016-01-13	0	192.37	2	1.0
ca5862ac925e28d351ade42a6157f149	E	108030999	BOLT 16X25/M8	2016-01-13	0	7437.13	2	6.0
ca5862ac925e28d351ade42a6157f149	E	110991000	PACKING CHARGES (CARTON) 200X200X80	2016-01-13	0	192.37	2	1.0
d869bef5e8d207a4afdd7bd17df69338	E	116904600	COLOUR FOR BOARD MARKING QUAL.NR.7100-93	2016-01-15	0	38791.63	2	50.0
e60fa3dbe7717210f07707d2d7a69d59	E	107254210	FELT 46X35X10MM	2016-02-06	1	3731.89	5	200.0
e60fa3dbe7717210f07707d2d7a69d59	E	105406991	GRINDING WHEEL 50X11X19MM	2016-02-06	1	10449.3	5	8.0
e60fa3dbe7717210f07707d2d7a69d59	E	105303998	DISC CUT KNIFE 240X1,2MM,28°	2016-02-06	1	31827.72	5	6.0
e60fa3dbe7717210f07707d2d7a69d59	E	111125303	GLUE DAM JOINT 3X260X220	2016-02-06	1	5437.9	5	2.0
e60fa3dbe7717210f07707d2d7a69d59	E	111125199	GLUE DAM JOINT 3X128X197	2016-02-06	1	1572.73	5	1.0
e60fa3dbe7717210f07707d2d7a69d59	E	111125198	GLUE DAM JOINT 3X128X197	2016-02-06	1	1572.73	5	1.0
e60fa3dbe7717210f07707d2d7a69d59	E	199825800	PERFLU V250 HIGH TEMP 800G 400ML	2016-02-06	1	3545.3	5	1.0
e60fa3dbe7717210f07707d2d7a69d59	E	197617200	PROXIMITY SWITCH 10-30VDC/PNP/NPN/4MM	2016-02-06	1	2665.64	5	1.0
9e85a0d5a1609fec6331b6e65bd6ccb6	E	191271600	RUBBER COVERING PL.5 60X2800	2016-02-08	0	2296.3	6	1.0
9e85a0d5a1609fec6331b6e65bd6ccb6	E	139108410	5/2 WAY SOLENOID VALVE M 7 - QN 350	2016-02-08	0	6729.5	6	1.0
9e85a0d5a1609fec6331b6e65bd6ccb6	E	110991001	PACKING CHARGES (CARTON) 200X200X150	2016-02-08	0	192.37	6	1.0
990f2661eb1521b069762f8060dbbdc5	E	113878200	FLAT PACKING 42X56X2	2016-02-08	0	155.27	6	2.0
990f2661eb1521b069762f8060dbbdc5	E	115766700	SLIDE SLEEVE 28/25X10	2016-02-08	0	273.71	6	1.0
990f2661eb1521b069762f8060dbbdc5	E	159247	BUSH 25X 28X 20	2016-02-08	0	137.95	6	1.0
990f2661eb1521b069762f8060dbbdc5	E	128195.01	REDUCING NIPPLE R1 1/4"X1"	2016-02-08	0	1158.04	6	2.0
990f2661eb1521b069762f8060dbbdc5	E	113883601	SCREWED JOINT 1 1/4"	2016-02-08	0	2743.41	6	2.0
990f2661eb1521b069762f8060dbbdc5	E	110991000	PACKING CHARGES (CARTON) 200X200X80	2016-02-08	0	192.37	6	1.0
4d7c42ad332b4f1a3b60cf95576591a5	E	114687601	PNEUMATIC CYLINDER	2016-02-08	0	6786.66	6	2.0
4d7c42ad332b4f1a3b60cf95576591a5	E	125357890	4/2 WAY SOLENOID VALVE G1/8,3-10 BAR - 2	2016-02-08	0	9670.5	6	1.0
4d7c42ad332b4f1a3b60cf95576591a5	E	114773000	PLASTIC TUBE 4X0.75	2016-02-08	0	298.17	6	10.0
4d7c42ad332b4f1a3b60cf95576591a5	E	114735900	THREADED ELBOW JOINT D4XM6	2016-02-08	0	3082.25	6	10.0
4d7c42ad332b4f1a3b60cf95576591a5	E	110991000	PACKING CHARGES (CARTON) 200X200X80	2016-02-08	0	192.37	6	1.0
be7b9f77030ac3196debce9550647060	E	P030FR001	FREIGHT CHARGES	2016-02-11	1	839.81	6	1.0
be7b9f77030ac3196debce9550647060	E	P030PA001	PACKING	2016-02-11	1	384.73	6	2.0
be7b9f77030ac3196debce9550647060	E	P030FR001	FREIGHT CHARGES	2016-02-11	1	615.84	6	1.0
be7b9f77030ac3196debce9550647060	E	P030PA001	PACKING	2016-02-11	1	192.37	6	1.0
89b7e16a554aa26c7223e6b99fd0d00f	E	139097100	PNEUMATIC CYLINDER 20X 11-G1/8 DW	2016-02-17	0	6472.55	7	2.0
89b7e16a554aa26c7223e6b99fd0d00f	E	110991000	PACKING CHARGES (CARTON) 200X200X80	2016-02-17	0	192.37	7	1.0
e717d1ce83539e3cb871641c97d06643	E	107254210	FELT 46X35X10MM	2016-02-17	1	1865.95	7	100.0
e717d1ce83539e3cb871641c97d06643	E	105303998	DISC CUT KNIFE 240X1,2MM,28°	2016-02-17	1	31827.72	7	6.0
e717d1ce83539e3cb871641c97d06643	E	136481820	NO-CRUSH-ROLLER 180X65X50	2016-02-17	1	14852.83	7	28.0
e717d1ce83539e3cb871641c97d06643	E	150697601	PNEUMATIC CYLINDER 25X 40	2016-02-17	1	4744.84	7	1.0
e717d1ce83539e3cb871641c97d06643	E	105407210	TOOTHED BELT 29,5X 8X 640	2016-02-17	1	3012.17	7	1.0
a0fbe4029f5116b73bb4e2453f9f0c8b	E	108508600	INTERMEDIATE RING 145	2016-02-18	0	6485.47	7	2.0
a0fbe4029f5116b73bb4e2453f9f0c8b	E	113015440	THREE-PHASE MOTOR	2016-02-18	0	43941.81	7	1.0
a0fbe4029f5116b73bb4e2453f9f0c8b	E	P030FR001	FREIGHT CHARGES	2016-02-18	0	10832.93	7	1.0
ab838108392fa7992a1ba00d745e25f2	E	194858407	FREQUENCY CONTROLLER 2.4A/320-550V/0.75K	2016-03-01	0	16611.05	9	1.0
ab838108392fa7992a1ba00d745e25f2	E	132936401	MODULE	2016-03-01	0	1972.02	9	1.0
ab838108392fa7992a1ba00d745e25f2	E	110991002	PACKING CHARGES (CARTON) 300X300X200	2016-03-01	0	192.37	9	1.0
344de4b9e723bd7251d3b47f00d62437	E	178188401	LIGHT BARRIER 24 VDC	2016-03-03	0	7586.35	9	2.0
344de4b9e723bd7251d3b47f00d62437	E	110991000	PACKING CHARGES (CARTON) 200X200X80	2016-03-03	0	192.37	9	1.0
