Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
E	119302	1.0	ST	THREADED PIN M6X8	0.0
E	119314	21.0	ST	THREADED PIN M10X12	0.0
E	139530	2.0	ST	STEAM HOSE 1 1/4"X450 DN32	0.0
E	139531	2.0	ST	STEAM HOSE 3/4" X450	0.0
E	150011	9.0	ST	FLAT PACKING 3/4"/ 27X38X2	5.0
E	150015	10.0	ST	FLAT PACKING 41X55X2	4.0
E	150343	4.0	ST	SEALING RING 38,0X46,0X2,0	13.0
E	155999	0.0	ST	BUSH 40X 44X 20	0.0
E	170712	1.0	ST	PROXIMITY SWITCH 10-30VDC/M12X1 PNP	0.0
E	178211	1.0	ST	TACHOGENERATOR 60V-1000UPM	0.0
E	178944	1.0	ST	LIMIT SWITCH 1Ö/1S/3A/250VAC	0.0
E	179134	1.0	ST	LIMIT SWITCH 1Ö/1S/3A/250VAC	0.0
E	179448	1.0	ST	LIMIT SWITCH 1Ö/1S	0.0
E	181300	1.0	ST	ROTARY STEAM JOINT R 1 1/4"	4.0
E	181302	0.0	ST	SEALING RING 89,1X59,7X19,5 MM	1.0
E	181817	0.0	ST	PLATE SPRING 40,0X20,4X1,00	0.0
E	185620	1.0	ST	TOOTHED BELT HTD 30X8X640	0.0
E	185880	1.0	ST	TOOTHED BELT HTD 50X 8X1200	1.0
E	185951	1.0	ST	TOOTHED BELT HTD 30X 8X1120	0.0
E	553374	10.0	ST	SEALING ELEMENT RAD.288.5X260	8.0
E	553632	8.0	ST	SEALING ELEMENT 5X80X40X2	0.0
E	601135	1.0	ST	GLUE 1PC=1L	1.0
E	100197203	1.0	ST	V-BELT 16,3X3550	0.0
E	100272511	2.0	ST	SPRING ELEMENT 38	0.0
E	100335702	2.0	ST	BACOMIN V42-50 UNIVERSAL 400ML	24.0
E	100441800	192.0	ST	SUPPORTING PLATE S 10X16X1,2	485.0
E	100686320	0.0	ST	COMPRESSED-AIR MOTOR	1.0
E	100686325	1.0	ST	COMPRESSED-AIR MOTOR G1/8 - 10.6NM	0.0
E	100860700	0.0	ST	BUSH 50X55X30	0.0
E	100868100	0.0	M	RUBBER PROFILE 18.5X21.5, PACKING UNIT:	0.0
E	100868500	0.0	M	RUBBER PROFILE 26X31, PACKING UNIT: 5M	10.0
E	101411401	1.0	ST	PROXIMITY SWITCH 8-30VDCM18X1PNP	0.0
E	101517400	1.0	ST	TOOTHED BELT 30X 8X2800	0.0
E	101641600	1.0	ST	TOOTHED BELT HTD 18X 5X 700	0.0
E	101951401	0.0	ST	RUBBER EDGE 5X75X35	0.0
E	102385500	1.0	ST	ROTARY STEAM JOINT	1.0
E	102590601	0.0	ST	SERVICE-SET G1/4 - 63X20	0.0
E	103373900	0.0	M	FOIL 40 BR. 0,25 ST	0.0
E	103423950	0.0	ST	RUBBER PLATE 200X3X2900	0.0
E	104170400	1.0	ST	TOOTHED BELT 50X 8X 720	0.0
