Customer_Name	Article_Number	Stock	Base_Unit	Article_Name	Withdrawals
F	179006	3.0	ST	FUSE 160A	0.0
F	185620	1.0	ST	TOOTHED BELT HTD 30X8X640	2.0
F	600287	8.0	ST	WIPER 40X 50X 5	0.0
F	600816	1.0	ST	TOOTHED BELT T 12X5X900	0.0
F	600967	1.0	ST	TOOTHED BELT T 12X 5X 720	0.0
F	100272511	1.0	ST	SPRING ELEMENT 38	0.0
F	100794100	1.0	ST	TOOTHED BELT 30X 8X1200	0.0
F	101641600	1.0	ST	TOOTHED BELT HTD 18X 5X 700	1.0
F	103101800	1.0	ST	ELECTRONIC COMPONENT I10-53 Q4,5-48 VDC	0.0
F	104462901	1.0	ST	EMERGENCY STOP MODULE 24VAC/DC	0.0
F	105303965	12.0	ST	DISC CUT KNIFE 240X1,2/0,35MM,20°	18.0
F	105406991	24.0	ST	GRINDING WHEEL 50X11X19MM	40.0
F	105407210	2.0	ST	TOOTHED BELT 29,5X 8X 640	0.0
F	106203300	1.0	ST	SOLENOID VALVE 24V/DC	0.0
F	106363800	1.0	ST	LIGHT BARRIER 10-30 VDC	0.0
F	106363900	1.0	ST	LIGHT BARRIER SENDER	0.0
F	107254210	370.0	ST	FELT 46X35X10MM	1880.0
F	107938800	1.0	ST	TACHOGENERATOR 60V-1000UPM	0.0
F	109411002	1.0	ST	PULSE DISTRIBUTOR IV30	0.0
F	111537801	1.0	ST	RELAY 24VDC 10A 3CO	0.0
F	111537822	1.0	ST	RELAY 2WE/24VDC/8A	0.0
F	111537832	1.0	ST	RELAY 4WE/24VDC/5A/GK	1.0
F	112314200	1.0	ST	LIGHT BARRIER 5-500MM	0.0
F	114122500	1.0	ST	DIGITAL IN/OUTPUT S7/300/32DO/24VDC/0,5A	0.0
F	114122600	1.0	ST	DIGITAL IN/OUTPUT 6ES7 321-1BL00-0AA0	0.0
F	114506600	1.0	ST	CONTACTOR	0.0
F	116247600	4.0	ST	BELLOWS 40X17; GUMMI	0.0
F	116980600	1.0	ST	DIGITAL IN/OUTPUT 6ES7 323-1BL00-0AA0	0.0
F	117101900	2.0	ST	WEAR PLATE FL 84,5X27X6	1.0
F	117712402	1.0	ST	TOOTHED BELT GT 40X 8X 720	3.0
F	119517715	1.0	ST	SERVO CONTROLLER 10A/380V-480V/6,9KW	0.0
F	119517717	1.0	ST	SERVO CONTROLLER 1,5A/380V-480V/1,1KW	0.0
F	119814002	1.0	ST	LIMIT SWITCH SCHARNIER 3Ö	0.0
F	120117200	2.0	ST	O-RING 9,25X1,78	0.0
F	122745003	2.0	ST	TOOTHED BELT HTD 25X 5X 375	0.0
F	122745004	2.0	ST	TOOTHED BELT 30X 5X 565	1.0
F	123052310	40.0	ST	NO-CRUSH-ROLLER 165X65X50	50.0
F	123584901	4.0	ST	BOLT RD.8 148LG.	0.0
F	123596200	24.0	ST	SPACER RING L49XID70XW4	0.0
F	124029130	1.0	ST	COMMUNICATION MODULE 28PORT; 100MBIT	0.0
F	126054505	1.0	ST	TOOTHED BELT GT 30X 8X2000	0.0
F	126292402	4.0	ST	BRUSH ROLL SEGMENT 300X203X216MM	7.0
F	127811010	1.0	ST	METERING UNIT S7/ET200S/1COUNT 5V/500KH	0.0
F	127811022	1.0	ST	MODULE IM151-3	0.0
F	127811031	1.0	ST	MODULE S7/ET200S/24VDC/POWER	0.0
F	127811040	1.0	ST	SUB-RACK S7/ET200S/DE-DA-AO-AI	0.0
F	127811042	1.0	ST	ANALOG INPUT/OUTPUT S7/ET200S/2*AA/+-10V	0.0
F	127811070	1.0	ST	SUB-RACK S7/ET200S/24VDC/POWER	0.0
F	129724904	2.0	ST	PNEUMATIC CYLINDER 50X16-G1/8	2.0
F	130343910	1.0	ST	PROXIMITY SWITCH 10-30VDC;PNP;M8	1.0
F	131209700	1.0	ST	TOOTHED BELT GT 50X 8X1760	0.0
F	138378900	4.0	ST	NAIL BAR 20X8X203,5	0.0
F	148187700	1.0	ST	TOOTHED BELT GT 85X 8X1600	0.0
F	150901500	2.0	ST	NILOS RING 117,5X80X3	0.0
F	151395402	0.0	ST	5/2 WAY SOLENOID VALVE	1.0
F	153532100	2.0	ST	Y-PLUG CONNECTOR D-4	0.0
F	155470300	1.0	ST	EMERGENCY STOP MODULE 2I/2Q	0.0
F	155470310	1.0	ST	EMERGENCY STOP MODULE 8I/24 VDC	0.0
F	155470311	1.0	ST	EMERGENCY STOP MODULE 24 VDC 5I/1I	0.0
F	155470320	1.0	ST	EMERGENCY STOP MODULE 24VDC 4Q	0.0
F	155470321	1.0	ST	EMERGENCY STOP MODULE 24 VDC 3Q	0.0
F	158530220	1.0	ST	TOOTHED BELT HTD 15X 3X 645	0.0
F	161790600	2.0	ST	BELLOWS D35/D84X207,3	0.0
F	162372800	1.0	ST	EMERGENCY STOP MODULE 24VDC 5S/1Ö	0.0
F	194858419	1.0	ST	FREQUENCY CONTROLLER 400-500V/13A/50-60H	1.0
F	197617200	1.0	ST	PROXIMITY SWITCH 10-30VDC/PNP/NPN/4MM	0.0
F	197617300	1.0	ST	PROXIMITY SWITCH 10-30VDC/PNP/4MM	0.0
F	225992610	1.0	ST	COMMUNICATION MODULE 10 PORTS	0.0
